,index,Text,tespit_edilen_arac,class
0,1,Aga her modele bi  cevabın var ama nedense diyorsun ki anlamayan biri için tavsiye.sen anlamadigindan eminmisin,,pozitif
1,3,Ne fakirsin 700 ü ben bazen ayda kazanıyorum.,,negatif
2,7,O paralara araba var mı ya ,,negatif
3,21,manuel dizel accent blue km düşük olmasına dikkat et ömürlük binersin,,pozitif
4,24,kazalı belalı çakal kasa e46,,negatif
5,29,Kilometresi düşük ve temiz kullanılmış olmak kaydıyla Seat EXEO yu tek geçerim.Hem fiyatı daha uygun hemde tavsiye edilen çoğu araçtan daha konforlu .,,pozitif
6,34,"M Lancer: 1.5 1.6 Invite: Manuel Sorun çıkarmaz, otomatik CVT oda iyidir. 7 senelik arabamı yeni boyattım tertemiz biniyorum satma fikrim de yok",,pozitif
7,37,Become an FTMO Trader today and gain up to 90% of your simulated profits. Start now!,,pozitif
8,40,Bende Otomatik Accent Blue var. Tavziye ederim. Bakım harici sanayi göstermedi,,negatif
9,42,"Şansın varsa  hepsi uyar, ben 4 yıl önce ilk sahibinden 1992 modrmel 141.000 km de   fort festiva aldım şu anda 225 bin km de ve haftanın 6 günü günlük 75 km yol yapıyorum , allah nazardan korusun , ufak tefek sorunlar haricinde  hiç sorun çıkarmadı , yağına suyuna düzenli",,pozitif
10,47,İ20,,pozitif
11,51,Faytons,,pozitif
12,58,0.9 tce (turbolu performansı fena değil  ) cam tavan olanlarından bulursan tadından yenmez yada 1.5dciyı,,negatif
13,60,2006 Avensis düşük km,,negatif
14,62,Valla dertsiz tasasız araba istiyorsanız japon arabaları iyi .,,negatif
15,66,"Symbol hocam. 1.5 Dci motorun zaten namı yürüyor, parça - bakım maaliyetleri uygun. Ama her arabanın bir şans payı vardır. Sıfır araba bile bazen şaka yapabilir.",,negatif
16,67,2014 C-max bakın dolu paket. Geniş aile arabası.,,negatif
17,74,japon ve koreden tipini en beğendiğin araba ne ise o tüplü seviyosan tüplü al dizel seviyosan dizel ne alıyosan al japon kore al,,negatif
18,76,Kangoo III,,pozitif
19,81,"Renoult Tailant al Reis, araç özellikli değil ama seni yolda da bırakmaz. Üzerine sedan ve otomatik",,negatif
20,92,1.6 auris,,negatif
21,93,Albea,,pozitif
22,109,Sanayide bir kaç gün gez dolaş çaylarını iç az çok kafanda oturur.,,pozitif
23,110,LİNEA 1.5,,negatif
24,111,Auris 16 cvt atmosferik,,negatif
25,114,Abi selam güzel bir forum açmışsın. Ben de aynı bütçe ile arabadan anlamayan olarak arıyorum. Ekseri öneri nedir?,,negatif
26,119,2.el temiz chevrolet trax kullanıyorum çok memnunum,,negatif
27,121,2016 model Seat Toledo binici işi içi yayla gibi bagajı tartışmasız çoluk çombalak akar gider sanayi bilmez bakımdan bakıma takılırsın,,negatif
28,124,Ben de bakıyorum. 600 bin bütçeyle başladım 2 ay önce. Şimdi 1 milyondan aşağı binilecek araç olmadığına ikna oldum.,,negatif
29,128,Doğan sele çarpi,,negatif
30,135,at hem belki kazanir bi arac almayi saglar,,pozitif
31,143,Kimse buraya c elysee yazmamış galiba. Km düşük c elysee al üzmez,,negatif
32,146,"Jennifer Lopez, Zen Pırlanta’nın tüm dünyadaki yeni marka elçisi oldu!",,pozitif
33,148,"2012 modellerde jetta falan olur çokta yeni araba alınmaz o paralara küçük bişey alma kibrit kutusu kadar araba otobanda uçar gider altından, jetta uygundur bence büyüklüğü falan ideal",,negatif
34,153,fluance,,pozitif
35,154,Jazz,,pozitif
36,156,1.6 tdci mondeo bak o fiyatlara var mı bilmiyorum alabiliyorsan al titanyum alıxaksın led far opsiyonlu olsun sonra gel bana dua et,,negatif
37,157,2010 CX7 2.2 Dizel,,negatif
38,160,Benzinli courier,,negatif
39,161,850 bin TL’ye jetta var isteyene,,pozitif
40,166,Şeytan dıbeji 700milyar kredi lexa avrupa,,negatif
41,168,Bende 88 tanus var 60 bine aldim 30 masraf ettim canavar gibi araba şehir içinde hiç sorun cikarmadi,,pozitif
42,176,Accent blue,,pozitif
43,183,Linea,,pozitif
44,185,2 inci elde genel kaide minimum arıza istatistiği olmali bence. Yoksa her arabanin bir şekilde kazalisi ve temizi mevcut.,,negatif
45,186,O fiyata varsa eğer Subaru’nun nesini bulursanız alın.,,negatif
46,187,"PSA grubundan 1.6 HDI bir araç önerebilirim, motoru bakımlı olmak şartıyla.",,negatif
47,188,Chevrolet Cruze,,pozitif
48,190,İ20 otomatik LPG'li,,pozitif
49,196,"Bende 2014 model otomatik Reno Flunce var, 600 bine verebilirim.",,negatif
50,197,"Mıtsubıshı ASX  yakıt mıhteşem, masrafsız ve konforlu",,pozitif
51,199,"istediğiniz aracı netleştirmek daha önemli B kasa mi C kasa mı, hatcback mi Sedan mı, benzinli mi dizel mi, otomatik mi manuel mi? bunlar netlesince bütçenize göre araç bakmak daha mantıklı olacaktır.",,negatif
52,200,kisitli butce nedeniyle yuksek modelde cok secenek olmuyor. Masrafi minimum duzeyde ne olabilir işin içinden çıkamadım. birde malum ortalık seref yoksunu çakal kaynadigindan kurumsal bir yerden bakmanizi tavsiye ederim sadece,,negatif
53,210,Otomatik mi manuel mi,,negatif
54,211,2011 Accord al bin,,negatif
55,216,Hacı reno Kango al araba dertsiz olur sen kanser  ,,negatif
56,218,Chewrolet cruze .,,pozitif
57,225,Cıvıc FD6,,negatif
58,231,Auris ,,pozitif
59,245,Reno symbol al bence hocam,,pozitif
60,249,"Alman, Fransız ve Amerikan arabalarının arızası çok bakımı pahalı olur yaş geçtikçe.   Japon ve kore arabaları sorunsuzluğa daha yakın. Sadece nissan problemlidir.",,negatif
61,252,Accent blue,,pozitif
62,255,2009-12 arası bir corollla olur.,,pozitif
63,259,Fuluance,,pozitif
64,260,1.6 Wolswagen jetta 2009 ve  üzeri modelleri gayet mantıklı olur,,negatif
65,261,Yapıştır 301 bu paraya en baba araba çok net,,pozitif
66,267,"https:// shbd.io/s/WYTSbaAi  Arıza yok, boya yok, hasar kaydı yok, değişen yok. Bütçene uygun tertemiz araç. Koy yakıtını, seneden seneye rutin bakımının dışında sanayiye gitmezsin.",,pozitif
67,270,Bmx,,pozitif
68,272,Volta V1,,negatif
69,274,Bu soruyu bekar olarak değiştiriyorum öneriler nedir?,,negatif
70,277,"700 bine alınacak en iyi arabadır, 11. Seneye döndük kendisi ile. 10 sene sadece periyodik bakım dışında sadece kronik motor kulağı sorunu nedeniyle 1 kez serviste değişti. Lpg uyumu da harika ama ben lpgsiz kullanıyorum",,pozitif
71,281,https:// shbd.io/s/bbvvZnIU,,pozitif
72,282,Japon olsun kafanız rahat olsun. Allah kazasız belasız yol versin.,,pozitif
73,283,@grok  bu posta gelen cevapları markalara göre çubuk grafik haline getir.,,pozitif
74,289,700bin e sorunsuz araba zor.. ekpertiz yaptırmadan alırsan elinde patlar.. sorunsuz arıyom diye tutturursan da bütçen 600 e düşene kadar expertize harcarsın.. en iyisi az daha biriktirin ,,negatif
75,292,Subaru Legacy 2005 2006 Station,,pozitif
76,295,Linea,,pozitif
77,297,Htundai acente blue 1.6 dizel otomatik 2014 olur,,negatif
78,299,@grok  yorumlarda en çok tavsiye edilen araçları sırala,,pozitif
79,302,"temiz, km dusuk sevdiginiz birsey olsun.. az yakmasi, sigortasi ve yillik vergisileri az olmasi da guzel olur.. araba durduk yerde masraf cikaran bir urun..",,negatif
80,304,"@grok  bu paraya Türkiye'de alınabilecek en iyi araçları inceleyiver şu kardeşimiz için, hadi koçum..",,negatif
81,308,El arabası,,negatif
82,309,"Al, bana dua et",,pozitif
83,310,"Barış hocam öneri çok yapılmış ben yapmıyorum ama niyetlendiğiniz arabayı danışabilirsiniz, bu bütçelerdeki arabaların çoğuna hakimim",,negatif
84,314,1.5 dci 2015 ve üstü,,negatif
85,322,"700K araç alıyorsanız, sadede expertiz değil ayrıca o aracın servisine de götürmeniz gerekiyor, iyi bir aracı kimse size 700K vermez kur ve altın fiyatlarına göre söylüyorum",,negatif
86,325,courier tabiki 3 tane aldık taş gibi araba,,pozitif
87,331,Valla dertsiz ve aile arabası diyorsan. Temiz bir Cady 200 bin km altında bulabilirsen hiç düşünmeden al derim. Hem konfor hemde sağlamlık açısından binilecek araba. Bunlar artı yanları. Otomobile göre biraz yakıtı fazla ve kamyonet olması da eksi yanlarıdır.,,negatif
88,346,El arabası yada at arabası ,,negatif
89,347,Edirne'den çıkınca bunları alabilirsiniz.,,negatif
